image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
clownfish,64,xyz,0.476174,28.228821,0.815846,5.823798,0.128019,0.259441
clownfish,256,luv,0.520082,31.876450,0.879977,2.453017,0.089866,0.204282
clownfish,256,rgb,0.633026,35.124445,0.938716,2.727307,0.033478,0.108613
clownfish,256,xyz,0.590292,31.667316,0.893460,4.180729,0.059582,0.137535
color_chart,4,luv,0.070911,10.673948,0.460079,21.192823,0.619802,0.580634
color_chart,4,rgb,0.192451,13.023124,0.538050,23.637313,0.517914,0.517365
color_chart,4,xyz,0.230521,11.445760,0.589580,23.622313,0.472373,0.459371
color_chart,16,luv,0.244214,15.267184,0.594555,11.255662,0.336688,0.300861
color_chart,16,rgb,0.323150,17.892768,0.678853,13.298401,0.288847,0.265218
color_chart,16,xyz,0.362752,13.947682,0.655717,16.648008,0.332327,0.295245
color_chart,64,luv,0.356315,18.051249,0.672598,6.488899,0.191671,0.129146
color_chart,64,rgb,0.482091,24.051763,0.842468,6.457258,0.119063,0.110577
color_chart,64,xyz,0.439858,17.481503,0.704806,9.561381,0.203484,0.161411
color_chart,256,luv,0.615702,32.225182,0.889757,1.020341,0.027497,0.029590
color_chart,256,rgb,0.677616,35.196980,0.944390,0.981647,0.011291,0.018403
color_chart,256,xyz,0.622840,27.594741,0.844956,1.701486,0.035970,0.035116
color_checker,4,luv,0.399124,14.498964,0.828388,14.289867,0.185461,0.350244
color_checker,4,rgb,0.407170,16.457484,0.831323,14.873635,0.195531,0.361976
color_checker,4,xyz,0.343521,15.213525,0.772792,17.453949,0.262384,0.407022
color_checker,16,luv,0.480095,24.115302,0.906631,3.584189,0.041173,0.186577
color_checker,16,rgb,0.553364,26.432849,0.935196,3.838462,0.033646,0.152896
color_checker,16,xyz,0.492119,23.541724,0.905384,4.990710,0.072997,0.213732
color_checker,64,luv,0.681677,34.705148,0.962994,1.072553,0.012238,0.106873
color_checker,64,rgb,0.730109,37.180384,0.976426,1.022341,0.008708,0.097554
color_checker,64,xyz,0.658835,33.373049,0.951878,1.316831,0.014066,0.120752
color_checker,256,luv,0.820380,41.077321,0.983239,0.552186,0.004002,0.062514
color_checker,256,rgb,0.864417,43.991794,0.989972,0.600093,0.002257,0.044628
color_checker,256,xyz,0.791178,38.308841,0.977720,0.863312,0.003866,0.049598
coloring_pencils,4,luv,0.143924,17.041908,0.614851,12.667372,0.404657,0.561552
coloring_pencils,4,rgb,0.162868,17.775630,0.642342,16.145192,0.449722,0.622884
coloring_pencils,4,xyz,0.153804,15.017182,0.603095,17.614820,0.529733,0.676415
coloring_pencils,16,luv,0.241344,22.822208,0.711202,5.776365,0.193367,0.404550
coloring_pencils,16,rgb,0.305728,25.065085,0.766691,5.948771,0.181222,0.388016
coloring_pencils,16,xyz,0.247561,21.128950,0.687290,9.373466,0.255531,0.459097
coloring_pencils,64,luv,0.398243,29.088641,0.826875,2.892719,0.075193,0.284392
coloring_pencils,64,rgb,0.472270,32.176461,0.885512,3.049667,0.056118,0.251617
coloring_pencils,64,xyz,0.402115,26.682359,0.782197,5.081369,0.115997,0.302792
coloring_pencils,256,luv,0.550586,34.151922,0.907533,1.487063,0.029719,0.170060
coloring_pencils,256,rgb,0.640680,37.188626,0.948929,1.681454,0.012896,0.102158
coloring_pencils,256,xyz,0.564593,32.190279,0.883496,2.902354,0.035283,0.130747
columbia_crew,4,luv,0.141385,17.418002,0.515728,10.441573,0.298143,0.497113
columbia_crew,4,rgb,0.206211,18.502894,0.621515,9.638662,0.256122,0.477254
columbia_crew,4,xyz,0.169666,17.182458,0.555069,13.551626,0.344709,0.550176
columbia_crew,16,luv,0.354521,25.379082,0.789047,4.681271,0.102545,0.324589
columbia_crew,16,rgb,0.411688,27.136781,0.827370,4.242576,0.110962,0.322767
columbia_crew,16,xyz,0.348028,23.729902,0.739992,6.687930,0.149955,0.363686
columbia_crew,64,luv,0.515570,30.441083,0.881668,2.491727,0.066139,0.196830
columbia_crew,64,rgb,0.595645,33.028480,0.931309,2.334431,0.035179,0.148018
columbia_crew,64,xyz,0.541428,29.944788,0.874179,3.291845,0.047316,0.163533
columbia_crew,256,luv,0.654549,34.733095,0.945122,1.545740,0.028050,0.117048
columbia_crew,256,rgb,0.737899,37.966536,0.971223,1.492171,0.010350,0.070415
columbia_crew,256,xyz,0.665017,34.265921,0.940990,2.025985,0.014600,0.072282
common_jezebel,4,luv,0.139043,18.188569,0.666807,7.423722,0.346550,0.439784
common_jezebel,4,rgb,0.180027,20.111104,0.683878,8.187086,0.387444,0.474952
common_jezebel,4,xyz,0.186088,18.812989,0.655845,9.508512,0.438514,0.504567
common_jezebel,16,luv,0.294265,25.428161,0.757034,3.637957,0.271733,0.388822
common_jezebel,16,rgb,0.387763,28.061239,0.834469,3.534943,0.214281,0.358806
common_jezebel,16,xyz,0.366251,25.888217,0.803207,4.312722,0.233857,0.374725
common_jezebel,64,luv,0.434740,30.226402,0.849110,2.111505,0.188648,0.310575
common_jezebel,64,rgb,0.546366,33.208671,0.916193,2.094792,0.109113,0.230516
common_jezebel,64,xyz,0.513486,29.632937,0.891386,2.728895,0.094211,0.221572
common_jezebel,256,luv,0.579335,34.127280,0.917870,1.312752,0.103861,0.217889
common_jezebel,256,rgb,0.690631,37.772775,0.962189,1.349050,0.034981,0.119882
common_jezebel,256,xyz,0.622485,33.116973,0.929428,1.769024,0.037475,0.109626
common_lantanas,4,luv,0.158015,19.615627,0.710479,10.767565,0.282961,0.464456
common_lantanas,4,rgb,0.208268,20.860206,0.742590,11.140175,0.283408,0.470617
common_lantanas,4,xyz,0.233560,18.538522,0.703542,14.975919,0.373548,0.537513
common_lantanas,16,luv,0.260776,24.118536,0.779127,5.228335,0.234425,0.430833
common_lantanas,16,rgb,0.347162,26.670651,0.825952,5.938006,0.234740,0.435762
common_lantanas,16,xyz,0.337364,24.157802,0.808482,8.360440,0.248090,0.410938
common_lantanas,64,luv,0.392508,28.325616,0.846236,3.084810,0.155793,0.358777
common_lantanas,64,rgb,0.495905,31.551115,0.895872,3.294278,0.145287,0.327713
common_lantanas,64,xyz,0.446766,27.631594,0.866948,5.316338,0.192041,0.338558
common_lantanas,256,luv,0.516552,32.159300,0.899272,1.905711,0.096844,0.258846
common_lantanas,256,rgb,0.624321,35.898255,0.944605,2.001105,0.040008,0.205622
common_lantanas,256,xyz,0.554713,30.929198,0.907542,3.839165,0.102248,0.264774
cosmic_vista,4,luv,0.145103,17.387314,0.496968,12.046647,0.456951,0.489316
cosmic_vista,4,rgb,0.196918,19.914644,0.614109,12.145288,0.415024,0.486336
cosmic_vista,4,xyz,0.175341,18.661868,0.544255,13.683851,0.427190,0.507162
cosmic_vista,16,luv,0.302824,23.715918,0.741704,6.670577,0.171397,0.333453
cosmic_vista,16,rgb,0.361854,25.643715,0.807057,6.915036,0.121869,0.287190
cosmic_vista,16,xyz,0.333604,23.301453,0.756400,9.139920,0.202076,0.341928
cosmic_vista,64,luv,0.431127,27.806708,0.856702,4.111337,0.070915,0.177755
cosmic_vista,64,rgb,0.529809,30.526374,0.914725,4.358740,0.033699,0.098822
cosmic_vista,64,xyz,0.473170,27.356889,0.869123,6.253085,0.077173,0.159842
cosmic_vista,256,luv,0.575646,31.949064,0.932591,2.625451,0.025293,0.078372
cosmic_vista,256,rgb,0.672563,34.990635,0.963511,2.829828,0.010490,0.036158
cosmic_vista,256,xyz,0.603593,30.820106,0.932914,4.473819,0.037724,0.076921
craft_cards,4,luv,0.282849,18.414443,0.549062,9.566290,0.157115,0.416220
craft_cards,4,rgb,0.286248,19.036231,0.563999,10.930762,0.202970,0.424001
