image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim15.png,maxcoverage,256,31.68,0.8483,279.6,124441
kodim15.png,fast,256,35.151,0.93,6.6,160436
kodim15.png,kmeans,256,39.173,0.9686,3792.0,198239
kodim15.png,som,256,21.698,0.8374,5573.1,204748
kodim16.png,mediancut,16,30.506,0.8937,59.9,86563
kodim16.png,maxcoverage,16,27.816,0.8054,28.2,56039
kodim16.png,fast,16,26.158,0.77,5.7,55771
kodim16.png,kmeans,16,32.446,0.8922,347.7,73818
kodim16.png,som,16,22.852,0.8328,328.9,79918
kodim16.png,mediancut,32,33.573,0.9303,70.7,107104
kodim16.png,maxcoverage,32,30.385,0.8441,29.6,66284
kodim16.png,fast,32,30.03,0.853,6.5,100851
kodim16.png,kmeans,32,36.296,0.9461,511.1,95521
kodim16.png,som,32,22.431,0.8433,743.5,96547
kodim16.png,mediancut,64,36.486,0.961,65.9,139709
kodim16.png,maxcoverage,64,33.387,0.8981,42.2,92765
kodim16.png,fast,64,34.227,0.9224,6.3,123602
kodim16.png,kmeans,64,39.222,0.9691,1018.0,129803
kodim16.png,som,64,23.532,0.8661,1417.6,133047
kodim16.png,mediancut,128,38.737,0.9765,67.0,184201
kodim16.png,maxcoverage,128,35.695,0.9242,53.5,127499
kodim16.png,fast,128,37.366,0.9486,6.0,133937
kodim16.png,kmeans,128,41.618,0.9809,1726.4,171210
kodim16.png,som,128,24.368,0.8897,2722.7,172124
kodim16.png,mediancut,256,41.034,0.9845,73.6,232897
kodim16.png,maxcoverage,256,37.801,0.9444,75.5,161653
kodim16.png,fast,256,37.554,0.9496,6.1,134823
kodim16.png,kmeans,256,43.83,0.9879,3676.3,217789
kodim16.png,som,256,23.837,0.8733,6148.5,215455
kodim17.png,mediancut,16,29.636,0.9032,76.7,92168
kodim17.png,maxcoverage,16,23.866,0.5727,37.7,57389
kodim17.png,fast,16,23.469,0.7117,6.4,63403
kodim17.png,kmeans,16,32.154,0.8837,356.4,76280
kodim17.png,som,16,23.914,0.8025,291.0,74726
kodim17.png,mediancut,32,31.586,0.9353,86.0,129502
kodim17.png,maxcoverage,32,26.492,0.6952,40.4,79960
kodim17.png,fast,32,25.757,0.7056,6.6,79528
kodim17.png,kmeans,32,35.484,0.9452,618.3,112354
kodim17.png,som,32,23.843,0.832,694.5,116719
kodim17.png,mediancut,64,33.577,0.96,75.3,170953
kodim17.png,maxcoverage,64,28.915,0.7596,49.3,98784
kodim17.png,fast,64,33.584,0.919,5.4,142110
kodim17.png,kmeans,64,38.002,0.9647,996.5,149888
kodim17.png,som,64,25.363,0.8832,1472.3,148851
kodim17.png,mediancut,128,35.532,0.9736,91.8,216279
kodim17.png,maxcoverage,128,32.019,0.8286,86.0,113783
kodim17.png,fast,128,36.638,0.9481,5.5,159157
kodim17.png,kmeans,128,40.386,0.9778,1830.0,195246
kodim17.png,som,128,25.27,0.8828,2751.6,192379
kodim17.png,mediancut,256,37.609,0.9826,88.9,270041
kodim17.png,maxcoverage,256,34.902,0.8982,122.4,157416
kodim17.png,fast,256,37.76,0.9518,5.6,163273
kodim17.png,kmeans,256,42.702,0.986,3375.4,249174
kodim17.png,som,256,24.245,0.8531,5984.1,235472
kodim18.png,mediancut,16,25.692,0.8704,207.0,123812
kodim18.png,maxcoverage,16,21.788,0.6156,64.6,83591
kodim18.png,fast,16,22.855,0.6936,7.8,94323
kodim18.png,kmeans,16,28.917,0.8686,533.2,108208
kodim18.png,som,16,21.791,0.8005,372.6,113576
kodim18.png,mediancut,32,27.811,0.9069,259.7,152515
kodim18.png,maxcoverage,32,24.663,0.7086,81.9,98745
kodim18.png,fast,32,26.342,0.769,7.2,105205
kodim18.png,kmeans,32,31.421,0.912,626.2,131716
kodim18.png,som,32,21.702,0.8144,778.3,166623
kodim18.png,mediancut,64,30.318,0.9374,219.0,196183
kodim18.png,maxcoverage,64,27.464,0.794,115.6,115862
kodim18.png,fast,64,28.931,0.8673,5.5,176568
kodim18.png,kmeans,64,33.745,0.945,1146.8,175828
kodim18.png,som,64,22.563,0.8466,1501.4,216884
kodim18.png,mediancut,128,32.754,0.9569,220.7,245008
kodim18.png,maxcoverage,128,29.985,0.8448,164.3,154445
kodim18.png,fast,128,31.917,0.9252,5.9,215714
kodim18.png,kmeans,128,35.877,0.9653,2027.9,221978
kodim18.png,som,128,22.297,0.8495,2752.2,269347
kodim18.png,mediancut,256,34.95,0.9715,217.1,304023
kodim18.png,maxcoverage,256,32.491,0.8956,290.4,190846
kodim18.png,fast,256,34.747,0.9482,5.6,235112
kodim18.png,kmeans,256,37.917,0.9764,3586.8,275289
kodim18.png,som,256,23.114,0.8581,5685.8,311736
