image,k,method,mse_ours,mse_gold,ratio,log_ratio
rescue_helicopter,64,MC,54.4157460530599,212.736,0.2557900216844347,-0.5921164012643727
rescue_helicopter,64,OCT,82.08140563964844,127.066,0.645974577303515,-0.18978457357466336
rose_bouquet,64,MC,194.68078782823352,544.24,0.3577112814718387,-0.44646736288791394
rose_bouquet,64,OCT,212.28389655219183,380.88,0.5573511251632846,-0.2538711177944638
sagami_temple,64,MC,100.02770402696397,397.78,0.25146489020806473,-0.5995226430268166
sagami_temple,64,OCT,162.52350277370877,245.748,0.6613421178349723,-0.1795738181990068
salad_bowl,64,MC,172.7278264363607,613.76,0.2814256817589297,-0.5506362731512224
salad_bowl,64,OCT,203.5781995985243,393.714,0.517071274068294,-0.2864495888188412
schoolgirls,64,MC,173.3358900282118,573.863,0.3020509947987791,-0.5199197295921578
schoolgirls,64,OCT,222.17371961805554,397.471,0.5589683766062318,-0.25261276144076633
seattle_great_wheel,64,MC,150.73229132758246,433.762,0.34749999153356553,-0.4590452016549488
seattle_great_wheel,64,OCT,121.30531395806207,269.62,0.4499121502783995,-0.34687227816670807
shawls,64,MC,369.21554480658637,659.995,0.5594217301746018,-0.2522606679043792
shawls,64,OCT,200.40054660373264,412.42,0.48591374473530047,-0.31344081614944275
shopping_bags,64,MC,25.063771565755207,33.0405,0.75857724809719,-0.12000018717240812
shopping_bags,64,OCT,9.353307935926649,18.4006,0.5083153775380503,-0.2938667518379172
siberian_tiger,64,MC,41.48571523030599,157.8,0.26290060348736366,-0.5802084169711149
siberian_tiger,64,OCT,59.08105214436849,83.7997,0.7050270125593349,-0.1517942430359509
skiers,64,MC,112.17015669080946,302.804,0.37043816029778165,-0.4312842812959621
skiers,64,OCT,114.29483201768663,190.051,0.6013903216383321,-0.22084356541556155
spices,64,MC,79.04745992024739,291.834,0.2708644637713474,-0.5672479687591924
spices,64,OCT,147.9325705634223,193.123,0.7660018255900245,-0.11577019532466881
sports_bicycles,64,MC,143.67905510796442,505.081,0.2844673529749969,-0.5459675684125825
sports_bicycles,64,OCT,210.43404049343533,373.774,0.5629980696716073,-0.2494930941937806
sun_parakeet,64,MC,79.39086829291449,206.696,0.3840948460198286,-0.4155615203801658
sun_parakeet,64,OCT,85.14082845052083,139.226,0.6115296600528697,-0.21358247422064575
tablet,64,MC,122.52477094862196,202.637,0.6046515243939753,-0.21849484788502896
tablet,64,OCT,66.83134036593967,95.4735,0.6999988516807246,-0.15490267242736291
textile_market,64,MC,231.23787350124783,711.871,0.3248311470775574,-0.4883423342481096
textile_market,64,OCT,239.80099148220486,397.952,0.6025877278722179,-0.21997971728869609
trade_fair_tower,64,MC,43.54181586371528,109.9,0.39619486682179506,-0.4020911555652927
trade_fair_tower,64,OCT,47.69067043728299,74.6336,0.6389973207413684,-0.1945009627957136
traffic,64,MC,98.08185746934679,342.354,0.2864925120470238,-0.542886724548793
traffic,64,OCT,162.79586368136935,228.132,0.7136038069248039,-0.14654284175689797
tulip_field,64,MC,156.94083234998914,481.033,0.3262579331355419,-0.48643891942346384
tulip_field,64,OCT,189.4575915866428,408.603,0.46367156282906097,-0.333789538749722
umbrellas,64,MC,141.68264770507812,485.084,0.2920785837196818,-0.534500285934179
umbrellas,64,OCT,181.7195756700304,316.655,0.5738724342582003,-0.24118463592053666
veggie_pizza,64,MC,81.57319217258029,281.272,0.29001533096995186,-0.5375790435504734
veggie_pizza,64,OCT,80.46682400173611,177.833,0.4524853317535897,-0.3443954947830385
veggies,64,MC,142.87813991970486,452.932,0.3154516349467577,-0.5010672173576488
veggies,64,OCT,174.52517700195312,306.662,0.5691124984574324,-0.24480187661010475
venetian_lagoon,64,MC,82.1224365234375,299.616,0.2740922932134382,-0.5621031755583906
venetian_lagoon,64,OCT,134.2524151272244,169.379,0.7926154666589389,-0.10093745733731556
vintage_cars,64,MC,138.41127692328558,405.34,0.3414695735019628,-0.4666479878796676
vintage_cars,64,OCT,166.04876624213324,283.671,0.5853568614420693,-0.2325792865622755
wooden_toys,64,MC,197.77186414930554,253.679,0.7796146474454154,-0.1081200099277368
wooden_toys,64,OCT,90.1790262858073,177.884,0.5069541177722972,-0.2950313450059297
wool_carder_bee,64,MC,118.1867209540473,405.43,0.29150956010667023,-0.5353471979084272
wool_carder_bee,64,OCT,178.8916948106554,266.936,0.6701669868832058,-0.1738169697678113
yasaka_pagoda,64,MC,29.39996337890625,145.5,0.20206160397873713,-0.6945162038740151
yasaka_pagoda,64,OCT,67.03250461154514,89.9539,0.7451873082939721,-0.12773455042747517
adirondack_chairs,256,MC,60.95580291748047,255.66,0.23842526369975933,-0.6226477283609821
adirondack_chairs,256,OCT,87.39763302273221,123.247,0.7091258450325948,-0.1492766858982102
astro_bodies,256,MC,16.646257188585068,87.2064,0.19088343502982658,-0.7192317582867056
astro_bodies,256,OCT,22.61651611328125,33.0757,0.6837804222822571,-0.1650833379010837
astronaut,256,MC,14.696350945366753,40.7419,0.36071835003686015,-0.4428317642049395
astronaut,256,OCT,13.115236070421007,20.512,0.6393933341663908,-0.19423189566809052
balinese_dancer,256,MC,25.154429965549046,91.586,0.27465365847999745,-0.5612146116541171
balinese_dancer,256,OCT,30.864859686957466,42.7095,0.7226696563283922,-0.14106018018693242
ball_caps,256,MC,25.670616149902344,77.3152,0.3320254768777982,-0.47882859086543555
ball_caps,256,OCT,18.267228868272568,34.0385,0.5366637445325901,-0.27029774341481866
birthday_baloons,256,MC,32.50520155164931,120.237,0.27034275266057295,-0.568085268484177
birthday_baloons,256,OCT,29.62656741672092,53.5244,0.5535151709635404,-0.25687047130656365
