image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
kodim11,64,luv,0.518399,33.090782,0.920070,2.223595,0.049675,0.180318
kodim11,64,rgb,0.635397,35.847628,0.956301,2.389397,0.027804,0.106124
kodim11,64,xyz,0.612344,33.273963,0.945015,3.278394,0.061302,0.146119
kodim11,256,luv,0.657521,37.134448,0.961227,1.399149,0.018938,0.078039
kodim11,256,rgb,0.784240,40.629941,0.983898,1.602065,0.009084,0.034410
kodim11,256,xyz,0.727354,37.219497,0.971495,2.250477,0.027880,0.069587
kodim12,4,luv,0.130949,21.750268,0.734191,6.378803,0.397732,0.562714
kodim12,4,rgb,0.180842,24.213106,0.754656,6.343622,0.347725,0.544822
kodim12,4,xyz,0.178135,23.945240,0.750596,6.452796,0.358734,0.549686
kodim12,16,luv,0.252724,28.520373,0.782910,3.003024,0.249785,0.463392
kodim12,16,rgb,0.379077,30.501030,0.854089,3.223495,0.160338,0.391621
kodim12,16,xyz,0.429820,28.424769,0.872908,4.256308,0.160184,0.336677
kodim12,64,luv,0.443351,33.900252,0.897427,1.652943,0.091470,0.275056
kodim12,64,rgb,0.626610,37.054729,0.950095,1.817707,0.040472,0.140004
kodim12,64,xyz,0.627866,34.353922,0.943641,2.450719,0.047457,0.133632
kodim12,256,luv,0.603666,38.073703,0.948518,1.019893,0.034799,0.136596
kodim12,256,rgb,0.771437,41.722442,0.979663,1.147904,0.009355,0.043376
kodim12,256,xyz,0.757331,39.261370,0.975165,1.514433,0.017848,0.053028
kodim13,4,luv,0.222609,20.777426,0.673046,8.437533,0.361283,0.538239
kodim13,4,rgb,0.285833,23.290907,0.758570,7.680570,0.331268,0.470305
kodim13,4,xyz,0.233388,21.787451,0.652756,8.483553,0.449266,0.531557
kodim13,16,luv,0.409432,27.293401,0.873617,4.321062,0.121407,0.203792
kodim13,16,rgb,0.552536,30.229028,0.945437,4.911525,0.122560,0.171681
kodim13,16,xyz,0.559300,29.247600,0.942105,5.416187,0.152260,0.209737
kodim13,64,luv,0.561934,31.936177,0.947149,2.631369,0.041334,0.081848
kodim13,64,rgb,0.676432,35.015791,0.975652,3.005881,0.032504,0.063587
kodim13,64,xyz,0.669294,33.198803,0.970892,3.868134,0.062153,0.104041
kodim13,256,luv,0.685035,35.807353,0.976197,1.679768,0.014161,0.034421
kodim13,256,rgb,0.789231,39.291779,0.990020,2.028020,0.011983,0.024815
kodim13,256,xyz,0.767895,36.402557,0.986246,3.055092,0.032936,0.053610
kodim14,4,luv,0.116714,19.803716,0.503951,9.155981,0.466960,0.597273
kodim14,4,rgb,0.203903,21.428286,0.638900,9.447867,0.393529,0.556836
kodim14,4,xyz,0.182244,20.201270,0.590257,10.662764,0.473020,0.593696
kodim14,16,luv,0.328755,25.717696,0.782794,4.668083,0.164043,0.379560
kodim14,16,rgb,0.442800,28.064178,0.864565,4.885422,0.118096,0.278019
kodim14,16,xyz,0.405122,25.703279,0.829114,6.613847,0.179254,0.328753
kodim14,64,luv,0.502264,30.469687,0.899471,2.738771,0.058229,0.177509
kodim14,64,rgb,0.633922,33.613305,0.951951,3.133969,0.040250,0.114950
kodim14,64,xyz,0.611032,30.939080,0.931385,3.959145,0.064053,0.144756
