image,k,space,vifp,psnr,ssim,dE00
cruise_ship,4,rgb,0.177869,20.222768,0.713881,10.929522
cruise_ship,4,xyz,0.144514,18.481807,0.677565,12.537672
cruise_ship,16,luv,0.271850,24.457079,0.786082,5.589271
cruise_ship,16,rgb,0.334312,26.438040,0.829823,5.738353
cruise_ship,16,xyz,0.320358,24.948271,0.810549,6.504991
cruise_ship,64,luv,0.425679,29.253994,0.881958,3.187641
cruise_ship,64,rgb,0.515281,31.992493,0.916392,3.507090
cruise_ship,64,xyz,0.478743,29.543561,0.899345,4.267802
cruise_ship,256,luv,0.569897,33.875248,0.937140,1.833688
cruise_ship,256,rgb,0.665442,36.947194,0.960170,2.166281
cruise_ship,256,xyz,0.632959,34.059699,0.953730,2.861055
curler,4,luv,0.174594,18.420677,0.677201,11.335546
curler,4,rgb,0.235765,19.473102,0.730058,11.291084
curler,4,xyz,0.222258,18.219113,0.694847,12.378519
curler,16,luv,0.305022,24.322519,0.774387,5.134831
curler,16,rgb,0.377235,26.547645,0.823672,5.336447
curler,16,xyz,0.371293,23.226780,0.800670,7.574346
curler,64,luv,0.444749,29.267099,0.856447,2.892226
curler,64,rgb,0.542805,32.145509,0.903464,2.945536
curler,64,xyz,0.524259,28.587011,0.883429,4.043778
curler,256,luv,0.596256,33.924020,0.922096,1.676401
curler,256,rgb,0.697363,37.394757,0.956061,1.826701
curler,256,xyz,0.663013,33.360954,0.938754,2.475306
daisy_bouquet,4,luv,0.123917,15.921508,0.372171,13.608947
daisy_bouquet,4,rgb,0.147529,16.644391,0.411984,13.534523
daisy_bouquet,4,xyz,0.174309,13.016522,0.416109,19.943024
daisy_bouquet,16,luv,0.260693,20.947692,0.584199,7.011737
daisy_bouquet,16,rgb,0.334335,23.382536,0.707618,6.936652
daisy_bouquet,16,xyz,0.301539,19.186800,0.581060,9.335739
daisy_bouquet,64,luv,0.400172,25.740656,0.741984,3.693571
daisy_bouquet,64,rgb,0.480818,28.546269,0.853491,3.770314
daisy_bouquet,64,xyz,0.436548,23.754529,0.728329,5.707327
daisy_bouquet,256,luv,0.539800,29.562928,0.843609,1.990377
daisy_bouquet,256,rgb,0.623176,33.359156,0.933690,2.155650
daisy_bouquet,256,xyz,0.555338,28.437372,0.825068,3.145585
daisy_poster,4,luv,0.289390,20.568516,0.471017,5.713679
daisy_poster,4,rgb,0.336340,21.971101,0.647104,5.807356
daisy_poster,4,xyz,0.341978,18.827618,0.376959,9.579900
daisy_poster,16,luv,0.431839,26.546093,0.796478,2.651087
daisy_poster,16,rgb,0.520888,28.490390,0.894996,3.135376
daisy_poster,16,xyz,0.483740,26.380164,0.694246,3.477297
daisy_poster,64,luv,0.583173,31.350732,0.924157,1.363706
daisy_poster,64,rgb,0.670907,34.391565,0.959229,1.546913
daisy_poster,64,xyz,0.589726,30.500581,0.863602,2.151196
daisy_poster,256,luv,0.707927,35.961484,0.957225,0.765824
daisy_poster,256,rgb,0.793709,39.290427,0.982983,0.857329
daisy_poster,256,xyz,0.717665,34.827682,0.945154,1.275056
easter_egg_basket,4,luv,0.076266,16.172879,0.478136,13.149310
