image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim08.png,pw_lab,64,32.029,0.9406,3912.5,155419
kodim08.png,pw_lab_now,64,32.0,0.9407,3729.6,155559
kodim08.png,pw_rgb_w,64,34.102,0.9631,3722.2,187670
kodim08.png,pw_lab,128,34.332,0.9615,7539.6,204750
kodim08.png,pw_lab_now,128,34.366,0.9623,8547.0,205196
kodim08.png,pw_rgb_w,128,36.461,0.9796,7398.6,237999
kodim08.png,pw_lab,256,36.337,0.9759,14673.6,265461
kodim08.png,pw_lab_now,256,36.391,0.976,15382.5,265849
kodim08.png,pw_rgb_w,256,38.544,0.9867,14577.3,294149
kodim09.png,pw_lab,16,30.051,0.8722,1224.0,68341
kodim09.png,pw_lab_now,16,30.159,0.8817,1216.4,72406
kodim09.png,pw_rgb_w,16,30.689,0.9028,1137.7,81366
kodim09.png,pw_lab,32,32.115,0.9147,2148.1,99098
kodim09.png,pw_lab_now,32,32.09,0.9143,1954.7,97036
kodim09.png,pw_rgb_w,32,33.505,0.9376,1750.7,111193
kodim09.png,pw_lab,64,33.75,0.9362,3899.2,143988
kodim09.png,pw_lab_now,64,33.874,0.9378,3640.2,142746
kodim09.png,pw_rgb_w,64,35.869,0.9591,3697.2,150287
kodim09.png,pw_lab,128,36.158,0.9555,7551.7,182656
kodim09.png,pw_lab_now,128,36.072,0.9562,8153.4,183998
kodim09.png,pw_rgb_w,128,38.018,0.9707,7395.3,195866
kodim09.png,pw_lab,256,37.88,0.9686,14815.7,235738
kodim09.png,pw_lab_now,256,37.761,0.9691,14972.0,235347
kodim09.png,pw_rgb_w,256,40.069,0.9807,14827.1,252157
kodim10.png,pw_lab,16,30.146,0.8576,1354.1,69807
kodim10.png,pw_lab_now,16,30.145,0.8565,1323.2,69805
kodim10.png,pw_rgb_w,16,30.881,0.8795,1157.5,77433
kodim10.png,pw_lab,32,32.153,0.8849,2030.4,90343
kodim10.png,pw_lab_now,32,32.116,0.8862,2065.8,90226
kodim10.png,pw_rgb_w,32,33.689,0.9217,1920.8,107221
kodim10.png,pw_lab,64,34.395,0.9247,3888.0,125592
kodim10.png,pw_lab_now,64,34.432,0.9241,3856.2,123935
kodim10.png,pw_rgb_w,64,36.144,0.9481,3836.9,140261
kodim10.png,pw_lab,128,36.469,0.9469,8265.8,169786
kodim10.png,pw_lab_now,128,36.518,0.9466,7909.2,169991
kodim10.png,pw_rgb_w,128,38.334,0.9685,7506.9,188960
kodim10.png,pw_lab,256,38.183,0.963,15960.3,224839
kodim10.png,pw_lab_now,256,38.382,0.9631,14548.1,224964
kodim10.png,pw_rgb_w,256,40.373,0.9803,15543.1,243809
kodim11.png,pw_lab,16,28.842,0.8458,1080.2,73347
kodim11.png,pw_lab_now,16,28.811,0.8482,1108.1,73429
kodim11.png,pw_rgb_w,16,29.811,0.8997,1019.1,84865
kodim11.png,pw_lab,32,30.864,0.8969,1945.1,92692
kodim11.png,pw_lab_now,32,30.829,0.8958,1848.0,92187
kodim11.png,pw_rgb_w,32,32.623,0.9321,1804.0,112995
kodim11.png,pw_lab,64,33.197,0.9318,3985.0,129047
kodim11.png,pw_lab_now,64,33.073,0.9305,3649.0,128550
kodim11.png,pw_rgb_w,64,35.121,0.9558,3755.6,152541
kodim11.png,pw_lab,128,35.274,0.9536,8591.6,172946
kodim11.png,pw_lab_now,128,35.279,0.9546,7718.3,173651
kodim11.png,pw_rgb_w,128,36.99,0.9726,7685.0,194965
kodim11.png,pw_lab,256,36.816,0.9686,15976.0,221104
kodim11.png,pw_lab_now,256,36.724,0.9683,15134.9,221270
kodim11.png,pw_rgb_w,256,39.149,0.983,15614.4,241740
kodim12.png,pw_lab,16,28.165,0.8348,1094.3,53311
kodim12.png,pw_lab_now,16,28.157,0.8335,1099.4,54003
kodim12.png,pw_rgb_w,16,30.134,0.8633,994.9,66374
kodim12.png,pw_lab,32,30.244,0.8789,1929.2,77737
kodim12.png,pw_lab_now,32,30.283,0.879,2014.6,76959
kodim12.png,pw_rgb_w,32,32.737,0.9124,1925.2,89134
kodim12.png,pw_lab,64,34.388,0.9177,3869.9,107574
kodim12.png,pw_lab_now,64,34.354,0.9182,3822.6,108218
kodim12.png,pw_rgb_w,64,35.851,0.9456,4262.5,128702
kodim12.png,pw_lab,128,36.415,0.9429,7690.4,145062
kodim12.png,pw_lab_now,128,36.434,0.9424,7714.7,145524
kodim12.png,pw_rgb_w,128,38.478,0.9659,7505.8,166700
kodim12.png,pw_lab,256,38.193,0.9616,15789.2,191683
kodim12.png,pw_lab_now,256,38.151,0.9623,14716.4,191293
kodim12.png,pw_rgb_w,256,40.471,0.9782,15508.4,215089
kodim13.png,pw_lab,16,28.067,0.89,1186.7,131744
kodim13.png,pw_lab_now,16,28.105,0.8902,1215.6,131520
kodim13.png,pw_rgb_w,16,29.41,0.9382,1018.9,145492
kodim13.png,pw_lab,32,30.263,0.9276,2017.6,153958
kodim13.png,pw_lab_now,32,30.238,0.9269,2066.0,153686
kodim13.png,pw_rgb_w,32,32.18,0.9582,1975.4,176500
