image,method,n_colors,psnr,ssim,dE00,lpips
kodim06.png,ce_kmeans,16,29.437,0.8781,3.263,0.12879
kodim06.png,ce_kmeans,32,32.333,0.9225,2.409,0.06697
kodim06.png,ce_kmeans,64,34.457,0.9498,1.862,0.03708
kodim06.png,ce_kmeans,128,36.059,0.9656,1.483,0.02402
kodim06.png,ce_kmeans,256,38.3,0.9768,1.178,0.0124
kodim07.png,ce_kmeans,16,28.523,0.8593,3.475,0.20872
kodim07.png,ce_kmeans,32,31.163,0.8994,2.506,0.12936
kodim07.png,ce_kmeans,64,33.066,0.9304,1.972,0.08156
kodim07.png,ce_kmeans,128,35.318,0.9543,1.524,0.04418
kodim07.png,ce_kmeans,256,37.032,0.9679,1.18,0.02915
kodim08.png,ce_kmeans,16,26.208,0.8618,4.819,0.08697
kodim08.png,ce_kmeans,32,29.106,0.908,3.639,0.04995
kodim08.png,ce_kmeans,64,31.402,0.933,2.829,0.02867
kodim08.png,ce_kmeans,128,33.585,0.9565,2.238,0.01567
kodim08.png,ce_kmeans,256,35.672,0.9723,1.784,0.00841
kodim09.png,ce_kmeans,16,29.558,0.8728,2.902,0.22077
kodim09.png,ce_kmeans,32,31.502,0.909,2.276,0.10317
kodim09.png,ce_kmeans,64,33.484,0.9336,1.787,0.05805
kodim09.png,ce_kmeans,128,36.019,0.9517,1.413,0.0356
kodim09.png,ce_kmeans,256,37.643,0.9672,1.091,0.01975
kodim10.png,ce_kmeans,16,29.79,0.8491,3.265,0.19849
kodim10.png,ce_kmeans,32,31.838,0.8858,2.507,0.12307
kodim10.png,ce_kmeans,64,34.1,0.9206,1.984,0.07066
kodim10.png,ce_kmeans,128,36.305,0.944,1.582,0.03739
kodim10.png,ce_kmeans,256,37.986,0.9616,1.274,0.02266
kodim11.png,ce_kmeans,16,28.531,0.8438,3.647,0.13547
kodim11.png,ce_kmeans,32,30.758,0.8998,2.704,0.07005
kodim11.png,ce_kmeans,64,33.523,0.9367,2.069,0.03921
kodim11.png,ce_kmeans,128,35.024,0.9531,1.682,0.02604
kodim11.png,ce_kmeans,256,36.931,0.9687,1.344,0.01484
kodim12.png,ce_kmeans,16,27.996,0.8394,3.063,0.18229
kodim12.png,ce_kmeans,32,31.517,0.8817,2.184,0.10856
kodim12.png,ce_kmeans,64,34.115,0.917,1.642,0.06466
kodim12.png,ce_kmeans,128,36.578,0.9451,1.271,0.03629
kodim12.png,ce_kmeans,256,38.385,0.9639,0.989,0.01894
kodim13.png,ce_kmeans,16,27.794,0.8897,4.069,0.11954
kodim13.png,ce_kmeans,32,30.455,0.9352,3.141,0.06818
kodim13.png,ce_kmeans,64,32.431,0.9542,2.494,0.04369
kodim13.png,ce_kmeans,128,34.35,0.9698,1.991,0.0263
kodim13.png,ce_kmeans,256,36.246,0.9801,1.603,0.01363
kodim14.png,ce_kmeans,16,26.413,0.8136,4.304,0.1519
kodim14.png,ce_kmeans,32,28.839,0.8759,3.244,0.08733
kodim14.png,ce_kmeans,64,30.977,0.9128,2.501,0.05084
kodim14.png,ce_kmeans,128,32.975,0.9417,1.979,0.02769
kodim14.png,ce_kmeans,256,34.61,0.9601,1.576,0.01578
kodim15.png,ce_kmeans,16,27.359,0.7858,3.92,0.25538
kodim15.png,ce_kmeans,32,29.692,0.8386,2.78,0.17901
kodim15.png,ce_kmeans,64,31.89,0.8857,2.142,0.10044
kodim15.png,ce_kmeans,128,33.967,0.9188,1.65,0.05712
kodim15.png,ce_kmeans,256,35.892,0.9465,1.316,0.02977
kodim16.png,ce_kmeans,16,31.556,0.8806,2.813,0.1634
kodim16.png,ce_kmeans,32,34.172,0.9178,2.117,0.09305
kodim16.png,ce_kmeans,64,36.436,0.9447,1.663,0.05562
kodim16.png,ce_kmeans,128,38.506,0.9621,1.328,0.03187
kodim16.png,ce_kmeans,256,40.42,0.9752,1.061,0.01645
kodim17.png,ce_kmeans,16,30.205,0.8497,3.034,0.20528
kodim17.png,ce_kmeans,32,32.745,0.8963,2.299,0.12294
kodim17.png,ce_kmeans,64,34.955,0.9315,1.815,0.07305
kodim17.png,ce_kmeans,128,36.583,0.9516,1.46,0.04525
kodim17.png,ce_kmeans,256,38.511,0.9678,1.173,0.02686
kodim18.png,ce_kmeans,16,26.188,0.786,4.578,0.2069
kodim18.png,ce_kmeans,32,28.874,0.8596,3.498,0.12092
kodim18.png,ce_kmeans,64,30.847,0.9057,2.75,0.0668
kodim18.png,ce_kmeans,128,32.674,0.9348,2.19,0.03716
kodim18.png,ce_kmeans,256,34.532,0.9554,1.762,0.02214
kodim19.png,ce_kmeans,16,29.299,0.8359,3.342,0.1967
kodim19.png,ce_kmeans,32,31.987,0.9052,2.498,0.08138
kodim19.png,ce_kmeans,64,34.179,0.935,1.98,0.04946
kodim19.png,ce_kmeans,128,36.068,0.9554,1.597,0.03068
kodim19.png,ce_kmeans,256,37.686,0.969,1.304,0.01707
kodim20.png,ce_kmeans,16,29.393,0.8812,2.722,0.11442
kodim20.png,ce_kmeans,32,32.326,0.9229,1.973,0.06347
kodim20.png,ce_kmeans,64,33.973,0.94,1.573,0.0443
kodim20.png,ce_kmeans,128,36.344,0.9602,1.22,0.02422
kodim20.png,ce_kmeans,256,38.58,0.9741,0.932,0.01327
kodim21.png,ce_kmeans,16,28.831,0.8528,3.465,0.16308
kodim21.png,ce_kmeans,32,31.444,0.9004,2.662,0.08824
kodim21.png,ce_kmeans,64,33.3,0.9288,2.136,0.05129
kodim21.png,ce_kmeans,128,35.698,0.9548,1.695,0.02772
kodim21.png,ce_kmeans,256,37.529,0.9699,1.365,0.01725
kodim22.png,ce_kmeans,16,26.854,0.7873,4.568,0.21766
kodim22.png,ce_kmeans,32,29.296,0.8408,3.459,0.14532
kodim22.png,ce_kmeans,64,31.34,0.8831,2.748,0.09168
kodim22.png,ce_kmeans,128,33.22,0.9162,2.189,0.05186
kodim22.png,ce_kmeans,256,35.156,0.9418,1.746,0.02892
kodim23.png,ce_kmeans,16,24.444,0.7433,4.879,0.38701
kodim23.png,ce_kmeans,32,27.024,0.7758,3.769,0.33129
kodim23.png,ce_kmeans,64,29.622,0.8187,2.869,0.26899
kodim23.png,ce_kmeans,128,31.43,0.8558,2.243,0.19789
kodim23.png,ce_kmeans,256,33.594,0.8933,1.752,0.1278
kodim24.png,ce_kmeans,16,27.503,0.8517,4.338,0.13227
kodim24.png,ce_kmeans,32,30.41,0.9001,3.256,0.08096
kodim24.png,ce_kmeans,64,32.415,0.9292,2.534,0.05125
kodim24.png,ce_kmeans,128,34.239,0.95,2.037,0.02951
kodim24.png,ce_kmeans,256,36.132,0.9662,1.615,0.01732
