image,k,space,vif
cosmic_vista,16,luv,0.302824
cosmic_vista,16,rgb,0.361854
cosmic_vista,16,xyz,0.333604
cosmic_vista,64,luv,0.431127
cosmic_vista,64,rgb,0.529809
cosmic_vista,64,xyz,0.473170
cosmic_vista,256,luv,0.575646
cosmic_vista,256,rgb,0.672563
cosmic_vista,256,xyz,0.603593
craft_cards,4,luv,0.282849
craft_cards,4,rgb,0.286248
craft_cards,4,xyz,0.276251
craft_cards,16,luv,0.404644
craft_cards,16,rgb,0.437953
craft_cards,16,xyz,0.398425
craft_cards,64,luv,0.581154
craft_cards,64,rgb,0.652566
craft_cards,64,xyz,0.568037
craft_cards,256,luv,0.704806
craft_cards,256,rgb,0.801212
craft_cards,256,xyz,0.701402
crepe_paper,4,luv,0.074528
crepe_paper,4,rgb,0.111524
crepe_paper,4,xyz,0.095841
crepe_paper,16,luv,0.259580
crepe_paper,16,rgb,0.263562
crepe_paper,16,xyz,0.261496
crepe_paper,64,luv,0.555491
crepe_paper,64,rgb,0.587751
crepe_paper,64,xyz,0.564504
crepe_paper,256,luv,0.770330
crepe_paper,256,rgb,0.805888
crepe_paper,256,xyz,0.762646
cruise_ship,4,luv,0.124298
cruise_ship,4,rgb,0.177869
cruise_ship,4,xyz,0.144514
cruise_ship,16,luv,0.271850
cruise_ship,16,rgb,0.334312
cruise_ship,16,xyz,0.320358
cruise_ship,64,luv,0.425679
cruise_ship,64,rgb,0.515281
cruise_ship,64,xyz,0.478743
cruise_ship,256,luv,0.569897
cruise_ship,256,rgb,0.665442
cruise_ship,256,xyz,0.632959
curler,4,luv,0.174594
curler,4,rgb,0.235765
curler,4,xyz,0.222258
curler,16,luv,0.305022
curler,16,rgb,0.377235
curler,16,xyz,0.371293
curler,64,luv,0.444749
curler,64,rgb,0.542805
curler,64,xyz,0.524259
curler,256,luv,0.596256
curler,256,rgb,0.697363
curler,256,xyz,0.663013
daisy_bouquet,4,luv,0.123917
daisy_bouquet,4,rgb,0.147529
daisy_bouquet,4,xyz,0.174309
daisy_bouquet,16,luv,0.260693
daisy_bouquet,16,rgb,0.334335
daisy_bouquet,16,xyz,0.301539
daisy_bouquet,64,luv,0.400172
daisy_bouquet,64,rgb,0.480818
daisy_bouquet,64,xyz,0.436548
daisy_bouquet,256,luv,0.539800
daisy_bouquet,256,rgb,0.623176
daisy_bouquet,256,xyz,0.555338
daisy_poster,4,luv,0.289390
daisy_poster,4,rgb,0.336340
daisy_poster,4,xyz,0.341978
daisy_poster,16,luv,0.431839
daisy_poster,16,rgb,0.520888
daisy_poster,16,xyz,0.483740
daisy_poster,64,luv,0.583173
daisy_poster,64,rgb,0.670907
daisy_poster,64,xyz,0.589726
daisy_poster,256,luv,0.707927
daisy_poster,256,rgb,0.793709
daisy_poster,256,xyz,0.717665
easter_egg_basket,4,luv,0.076266
easter_egg_basket,4,rgb,0.155866
easter_egg_basket,4,xyz,0.114118
easter_egg_basket,16,luv,0.195003
easter_egg_basket,16,rgb,0.289117
easter_egg_basket,16,xyz,0.282959
easter_egg_basket,64,luv,0.338882
easter_egg_basket,64,rgb,0.453016
easter_egg_basket,64,xyz,0.402983
easter_egg_basket,256,luv,0.480448
easter_egg_basket,256,rgb,0.595134
easter_egg_basket,256,xyz,0.528524
easter_eggs,4,luv,0.048677
easter_eggs,4,rgb,0.096234
easter_eggs,4,xyz,0.103673
easter_eggs,16,luv,0.161659
easter_eggs,16,rgb,0.191599
easter_eggs,16,xyz,0.202091
easter_eggs,64,luv,0.288604
easter_eggs,64,rgb,0.345461
easter_eggs,64,xyz,0.367087
easter_eggs,256,luv,0.440218
easter_eggs,256,rgb,0.521327
easter_eggs,256,xyz,0.522905
eastern_rosella,4,luv,0.084696
eastern_rosella,4,rgb,0.214061
eastern_rosella,4,xyz,0.176964
eastern_rosella,16,luv,0.240804
eastern_rosella,16,rgb,0.343890
eastern_rosella,16,xyz,0.320592
eastern_rosella,64,luv,0.370640
eastern_rosella,64,rgb,0.486106
eastern_rosella,64,xyz,0.453904
eastern_rosella,256,luv,0.496854
eastern_rosella,256,rgb,0.616884
eastern_rosella,256,xyz,0.567414
felt_ball_trivet,4,luv,0.066699
felt_ball_trivet,4,rgb,0.079324
felt_ball_trivet,4,xyz,0.097096
felt_ball_trivet,16,luv,0.115352
felt_ball_trivet,16,rgb,0.190497
felt_ball_trivet,16,xyz,0.179466
felt_ball_trivet,64,luv,0.244476
felt_ball_trivet,64,rgb,0.339669
felt_ball_trivet,64,xyz,0.327785
felt_ball_trivet,256,luv,0.397370
felt_ball_trivet,256,rgb,0.528404
felt_ball_trivet,256,xyz,0.480550
fishing_nets,4,luv,0.064749
fishing_nets,4,rgb,0.150400
fishing_nets,4,xyz,0.135906
fishing_nets,16,luv,0.199553
fishing_nets,16,rgb,0.312620
fishing_nets,16,xyz,0.347917
fishing_nets,64,luv,0.378257
fishing_nets,64,rgb,0.484314
fishing_nets,64,xyz,0.438988
fishing_nets,256,luv,0.529024
fishing_nets,256,rgb,0.631247
fishing_nets,256,xyz,0.572241
floating_market,4,luv,0.181512
floating_market,4,rgb,0.291054
floating_market,4,xyz,0.238696
floating_market,16,luv,0.336301
floating_market,16,rgb,0.438819
floating_market,16,xyz,0.381725
floating_market,64,luv,0.466500
floating_market,64,rgb,0.570194
floating_market,64,xyz,0.496420
floating_market,256,luv,0.585886
floating_market,256,rgb,0.683520
floating_market,256,xyz,0.618673
